post_id,account,platform,content_type,category,post_date,day_of_week,hour_of_day,month,likes,comments,shares,views,followers,engagement_rate,hashtag_count,has_emoji,post_length
POST_0037,@user_027,Twitter,Image,Food,2024-01-13 05:47:00,Saturday,5,1,3017.0,2004.0,10978.0,16986,410695,3.8956,29.0,False,1026
POST_0038,@user_025,Facebook,Image,Fashion,2024-01-20 15:14:00,Saturday,15,1,1254.0,1244.0,6363.0,5093,428626,2.0673,29.0,False,1442
POST_0039,@user_002,Facebook,Image,Travel,2024-12-03 06:25:00,Tuesday,6,12,2643.0,2884.0,11011.0,8234,146568,11.2835,27.0,True,1153
POST_0040,@user_044,Facebook,Poll,Entertainment,2024-10-01 10:01:00,Tuesday,10,10,2310.0,1505.0,1310.0,6127,460320,1.1134,8.0,True,1097
POST_0041,@user_023,Instagram,Video,Entertainment,2024-06-09 13:38:00,Sunday,13,6,10598.0,4283.0,2874.0,40442,61131,29.0442,,True,1053
POST_0042,@user_001,Instagram,Poll,Entertainment,2024-09-23 17:43:00,Monday,17,9,2333.0,2129.0,666.0,8978,191456,2.6784,13.0,True,1362
POST_0043,@user_047,TikTok,Text,Fashion,2024-06-02 16:19:00,Sunday,16,6,,4904.0,13693.0,36735,171513,14.9312,12.0,False,531
POST_0044,@user_044,Twitter,Story,Entertainment,2024-03-30 19:36:00,Saturday,19,3,3909.0,3281.0,10475.0,8707,213400,8.2779,17.0,True,1254
POST_0045,@user_038,Facebook,Image,Entertainment,2024-11-06 20:20:00,Wednesday,20,11,8827.0,3440.0,14745.0,9088,232123,11.6369,14.0,True,2103
POST_0046,@user_043,YouTube,Poll,Food,2024-02-13 09:32:00,Tuesday,9,2,5044.0,2006.0,5304.0,102632,49461,24.9773,26.0,True,1281
POST_0047,@user_002,Twitter,Image,Food,2024-01-24 07:30:00,Wednesday,7,1,707.0,1795.0,3489.0,4483,239269,2.5039,13.0,True,1582
POST_0048,@user_010,YouTube,Story,Travel,2024-12-01 22:00:00,Sunday,22,12,,,357.0,35719,408616,0.8808,13.0,True,730
POST_0049,@user_036,TikTok,Story,Tech,2024-05-07 03:29:00,Tuesday,3,5,9599.0,1787.0,2704.0,28570,420673,3.3494,14.0,False,1822
POST_0050,@user_036,TikTok,Poll,Entertainment,2024-08-16 05:47:00,Friday,5,8,27244.0,7875.0,20063.0,164285,236466,23.3361,,True,1145
POST_0051,@user_018,TikTok,Story,Travel,2024-08-13 02:45:00,Tuesday,2,8,15235.0,1247.0,3354.0,112098,123442,16.0691,8.0,False,1319
POST_0052,@user_010,TikTok,Video,Food,2024-04-28 12:44:00,Sunday,12,4,8099.0,508.0,1447.0,49365,370867,2.7109,6.0,True,1709
POST_0053,@user_027,YouTube,Text,Business,2024-02-01 06:53:00,Thursday,6,2,2709.0,2874.0,4205.0,106728,204698,4.7817,28.0,True,1568
POST_0054,@user_020,YouTube,Video,Education,2024-07-18 13:34:00,Thursday,13,7,12374.0,4365.0,6776.0,71302,419861,5.6007,19.0,True,2009
POST_0055,@user_032,Twitter,Text,Entertainment,2024-01-15 12:21:00,Monday,12,1,3926.0,9688.0,14016.0,30004,380179,7.2676,5.0,False,532
POST_0056,@user_026,TikTok,Reel,Tech,2024-10-30 18:42:00,Wednesday,18,10,2045.0,445.0,332.0,7956,44512,6.3399,20.0,False,565
POST_0057,@user_017,YouTube,Image,Tech,2024-07-13 10:13:00,Saturday,10,7,5910.0,3820.0,7462.0,78694,171861,10.0034,10.0,False,1149
POST_0058,@user_031,YouTube,Text,Fashion,2024-01-10 23:34:00,Wednesday,23,1,1802.0,983.0,857.0,12668,499580,0.729,11.0,True,291
POST_0059,@user_013,Instagram,Video,Travel,2024-01-11 19:09:00,Thursday,19,1,6793.0,1706.0,566.0,23968,66676,13.5956,15.0,True,902
POST_0060,@user_050,YouTube,Poll,Fitness,2024-07-07 05:38:00,Sunday,5,7,1652.0,523.0,1413.0,14186,408286,0.8788,26.0,True,1284
POST_0061,@user_020,Instagram,Reel,Tech,2024-10-21 21:58:00,Monday,21,10,15114.0,4395.0,2930.0,23620,208461,10.7641,30.0,True,321
POST_0062,@user_007,TikTok,Poll,Travel,2024-12-22 09:54:00,Sunday,9,12,2027.0,,2965.0,53094,417952,1.7244,18.0,True,1432
POST_0063,@user_005,TikTok,Story,Education,2024-09-16 20:21:00,Monday,20,9,1724.0,384.0,414.0,5156,445922,0.5656,13.0,False,442
POST_0064,@user_046,YouTube,Text,Business,2024-03-19 13:11:00,Tuesday,13,3,14449.0,5087.0,2209.0,112926,341527,6.367,8.0,False,1914
POST_0065,@user_021,YouTube,Poll,Fitness,2024-05-05 02:17:00,Sunday,2,5,13493.0,7644.0,4649.0,42127,128354,20.0898,24.0,False,1562
POST_0066,@user_021,Facebook,Video,Business,2024-04-03 15:13:00,Wednesday,15,4,,5365.0,2718.0,13857,418793,3.4201,8.0,False,1155
POST_0067,@user_036,TikTok,Poll,Fitness,2024-01-06 16:12:00,Saturday,16,1,6321.0,1356.0,3262.0,30517,127040,8.6107,23.0,False,2011
POST_0068,@user_042,TikTok,Image,Business,2024-12-30 15:28:00,Monday,15,12,1028.0,214.0,1118.0,10219,49286,4.7884,9.0,True,1666
POST_0069,@user_031,Twitter,Text,Education,2024-10-10 16:22:00,Thursday,16,10,8009.0,11972.0,12050.0,21553,391584,8.1799,17.0,False,1451
POST_0070,@user_017,YouTube,Text,Fitness,2024-04-28 03:46:00,Sunday,3,4,5273.0,3207.0,2454.0,56121,165938,6.5892,3.0,True,794
POST_0071,@user_018,Twitter,Poll,Business,2024-10-28 16:38:00,Monday,16,10,5513.0,3902.0,6354.0,6653,53204,29.6387,26.0,True,1223
POST_0072,@user_020,Twitter,Text,Food,2024-01-08 22:34:00,Monday,22,1,1881.0,804.0,3537.0,7203,144318,4.3113,1.0,True,1206
POST_0073,@user_007,Twitter,Poll,Business,2024-01-07 18:18:00,Sunday,18,1,4233.0,9359.0,3016.0,9068,251484,6.604,14.0,False,765
POST_0074,@user_008,Instagram,Text,Business,2024-02-03 12:31:00,Saturday,12,2,3029.0,474.0,151.0,6542,303025,1.2058,20.0,True,631
POST_0075,@user_006,Twitter,Reel,Fitness,2024-05-07 03:35:00,Tuesday,3,5,7158.0,4377.0,13908.0,9413,318385,7.9913,19.0,True,2150
POST_0076,@user_020,YouTube,Story,Business,2024-10-28 13:19:00,Monday,13,10,4306.0,7829.0,5581.0,135116,326097,5.4327,1.0,True,861
POST_0077,@user_011,Twitter,Text,Fashion,2024-05-02 05:35:00,Thursday,5,5,1393.0,2518.0,2419.0,3272,82568,7.6664,0.0,False,1855
POST_0078,@user_003,TikTok,Story,Fitness,2024-04-28 09:45:00,Sunday,9,4,17676.0,2047.0,6698.0,31742,369067,7.1589,27.0,False,301
POST_0079,@user_028,Twitter,Text,Travel,2024-02-28 17:14:00,Wednesday,17,2,726.0,4604.0,,9989,476769,2.5337,8.0,True,302
POST_0080,@user_039,Instagram,Image,Fitness,2024-10-18 09:28:00,Friday,9,10,2946.0,500.0,269.0,6711,246232,1.5087,22.0,False,1658
POST_0081,@user_029,Facebook,Reel,Business,2024-02-11 19:02:00,Sunday,19,2,6980.0,4992.0,10104.0,11570,385607,5.725,10.0,False,115
POST_0082,@user_049,Instagram,Image,Tech,2024-12-10 08:36:00,Tuesday,8,12,2067.0,482.0,256.0,4436,400588,0.7002,24.0,True,1937
POST_0083,@user_018,TikTok,Poll,Business,2024-04-02 18:27:00,Tuesday,18,4,19348.0,3326.0,9717.0,166415,48337,67.0108,15.0,False,1682
POST_0084,@user_011,Facebook,Text,Fashion,2024-06-17 13:44:00,Monday,13,6,2638.0,1971.0,2351.0,7253,151609,4.5908,21.0,False,160
POST_0085,@user_017,YouTube,Video,Education,2024-06-14 03:49:00,Friday,3,6,11312.0,,3593.0,37966,453962,4.811,16.0,True,1902
POST_0086,@user_034,YouTube,Video,Travel,2024-07-04 19:48:00,Thursday,19,7,9306.0,6338.0,2140.0,91537,328394,5.4154,14.0,True,843
POST_0087,@user_019,Facebook,Reel,Food,2024-08-12 22:31:00,Monday,22,8,1702.0,1338.0,2938.0,1938,15635,38.2347,20.0,True,658
POST_0088,@user_036,Facebook,Reel,Tech,2024-07-27 02:14:00,Saturday,2,7,1542.0,1274.0,2275.0,6831,242431,2.1,30.0,True,640
POST_0089,@user_033,YouTube,Poll,Fitness,2024-12-27 08:26:00,Friday,8,12,11046.0,3308.0,1325.0,115714,248079,6.3202,,False,602
POST_0090,@user_005,YouTube,Image,Food,2024-05-21 13:21:00,Tuesday,13,5,3532.0,7529.0,8059.0,112502,140575,13.6013,26.0,True,1168
POST_0091,@user_010,Facebook,Reel,Business,2024-08-16 17:30:00,Friday,17,8,4483.0,3702.0,5999.0,13972,174794,8.1147,17.0,False,1875
POST_0092,@user_037,Facebook,Image,Travel,2024-07-15 07:54:00,Monday,7,7,9908.0,3046.0,13375.0,24019,23383,112.5989,10.0,False,1571
POST_0093,@user_032,YouTube,Poll,Food,2024-01-19 04:32:00,Friday,4,1,6598.0,2990.0,1881.0,42349,174560,6.5702,27.0,True,1813
POST_0094,@user_001,Instagram,Reel,Business,2024-03-14 13:55:00,Thursday,13,3,1879.0,1445.0,223.0,9312,39731,8.9275,15.0,False,1396
POST_0095,@user_042,TikTok,Poll,Entertainment,2024-02-11 10:54:00,Sunday,10,2,34266.0,1796.0,20856.0,95116,199734,28.4969,30.0,False,2008
POST_0096,@user_016,TikTok,Video,Fashion,2024-11-19 21:58:00,Tuesday,21,11,6324.0,3961.0,9153.0,110672,119768,16.2297,23.0,True,1787
POST_0097,@user_029,Instagram,Poll,Fashion,2024-03-26 22:19:00,Tuesday,22,3,1327.0,405.0,119.0,1728,24612,7.5207,10.0,True,1211
POST_0098,@user_010,Facebook,Text,Entertainment,2024-05-05 16:26:00,Sunday,16,5,11373.0,7152.0,18782.0,18828,357959,10.4221,25.0,True,706
POST_0099,@user_040,Twitter,Video,Entertainment,2024-12-15 07:31:00,Sunday,7,12,6067.0,14285.0,11901.0,46068,75534,42.7,7.0,False,1050
POST_0100,@user_030,YouTube,Text,Tech,2024-05-27 21:34:00,Monday,21,5,4635.0,1972.0,2162.0,44810,39224,22.3562,14.0,False,1235
POST_0101,@user_030,YouTube,Poll,Fitness,2024-06-03 06:24:00,Monday,6,6,4298.0,10066.0,4502.0,139784,56417,33.4403,7.0,False,1480
POST_0102,@user_002,TikTok,Text,Fitness,2024-12-03 12:17:00,Tuesday,12,12,662.0,327.0,418.0,1731,297209,0.4734,27.0,True,2044
POST_0103,@user_015,Facebook,Image,Education,2024-11-21 06:39:00,Thursday,6,11,5970.0,940.0,3336.0,15502,355843,2.8794,24.0,True,407
POST_0104,@user_003,Instagram,Text,Business,2024-10-23 11:46:00,Wednesday,11,10,,1091.0,786.0,9856,47755,15.7554,29.0,False,1348
POST_0105,@user_009,YouTube,Image,Travel,2024-10-03 11:33:00,Thursday,11,10,6860.0,5007.0,5938.0,135039,479430,3.7138,8.0,True,1062
POST_0106,@user_008,YouTube,Text,Education,2024-08-27 02:09:00,Tuesday,2,8,6086.0,4337.0,709.0,46404,451461,2.4658,21.0,False,1508
POST_0107,@user_017,Instagram,Story,Tech,2024-10-01 03:29:00,Tuesday,3,10,3837.0,2805.0,1551.0,42581,353255,2.3193,23.0,False,1570
POST_0108,@user_031,Facebook,Video,Travel,2024-01-13 19:56:00,Saturday,19,1,6776.0,2234.0,4298.0,28518,172469,7.7162,29.0,True,268
POST_0109,@user_042,YouTube,Poll,Fitness,2024-07-28 03:08:00,Sunday,3,7,1226.0,319.0,165.0,14333,496613,0.3443,1.0,False,2027
POST_0110,@user_035,Instagram,Video,Travel,2024-03-10 12:29:00,Sunday,12,3,4052.0,3849.0,2309.0,12481,352027,2.9003,30.0,False,642
POST_0111,@user_032,YouTube,Poll,Fashion,2024-11-11 13:17:00,Monday,13,11,369.0,982.0,321.0,7308,362405,0.4614,11.0,True,1826
POST_0112,@user_007,YouTube,Image,Education,2024-12-17 11:34:00,Tuesday,11,12,9686.0,,5999.0,97544,32245,72.9633,12.0,False,787
POST_0113,@user_043,Instagram,Story,Fashion,2024-04-18 20:40:00,Thursday,20,4,12502.0,1697.0,3989.0,48416,11697,155.4929,1.0,False,1007
POST_0114,@user_005,Twitter,Reel,Travel,2024-10-10 06:37:00,Thursday,6,10,2520.0,6203.0,2243.0,11103,426773,2.5695,27.0,True,1355
POST_0115,@user_018,Twitter,Reel,Tech,2024-03-15 04:34:00,Friday,4,3,1125.0,4318.0,1946.0,6352,419151,1.7628,5.0,True,115
POST_0116,@user_016,Twitter,Video,Education,2024-10-28 10:01:00,Monday,10,10,1122.0,3890.0,7067.0,10180,139629,8.6508,1.0,True,1734
POST_0117,@user_031,TikTok,Video,Fashion,2024-08-17 11:32:00,Saturday,11,8,42112.0,5135.0,9925.0,222064,57675,99.1279,14.0,True,187
POST_0118,@user_042,TikTok,Text,Business,2024-01-16 01:30:00,Tuesday,1,1,11238.0,7097.0,2106.0,165415,223990,9.1259,21.0,True,2018
POST_0119,@user_021,YouTube,Video,Fashion,2024-11-07 04:04:00,Thursday,4,11,996.0,2781.0,1302.0,45064,144687,3.5103,19.0,False,1570
POST_0120,@user_030,TikTok,Reel,Fitness,2024-09-15 19:27:00,Sunday,19,9,2067.0,1237.0,4966.0,28202,416310,1.9865,,True,890
POST_0121,@user_027,YouTube,Story,Travel,2024-06-22 14:25:00,Saturday,14,6,9252.0,,3570.0,98483,383027,5.1928,3.0,False,1758
POST_0122,@user_024,Facebook,Poll,Fitness,2024-03-19 21:59:00,Tuesday,21,3,7979.0,6582.0,2245.0,12695,35697,47.0796,2.0,True,391
POST_0123,@user_009,YouTube,Video,Education,2024-10-11 01:37:00,Friday,1,10,16925.0,11529.0,4794.0,130867,294983,11.2712,10.0,True,1692
POST_0124,@user_047,Facebook,Poll,Entertainment,2024-01-27 09:38:00,Saturday,9,1,3365.0,1548.0,5502.0,9625,184863,5.6339,3.0,True,643
POST_0125,@user_023,YouTube,Image,Fashion,2024-10-11 11:07:00,Friday,11,10,5957.0,1488.0,4654.0,94228,301493,4.013,7.0,False,117
POST_0126,@user_002,TikTok,Poll,Fitness,2024-04-02 08:44:00,Tuesday,8,4,,3486.0,5577.0,111953,483651,5.4843,10.0,False,35
POST_0127,@user_005,Twitter,Image,Entertainment,2024-03-13 23:40:00,Wednesday,23,3,656.0,381.0,1937.0,3011,48607,6.1185,23.0,True,1550
POST_0128,@user_011,YouTube,Story,Education,2024-07-08 09:46:00,Monday,9,7,9923.0,5742.0,3595.0,58955,407785,4.7231,30.0,True,225
POST_0129,@user_044,Twitter,Image,Tech,2024-02-11 08:28:00,Sunday,8,2,8451.0,11427.0,3016.0,7899,255126,8.9736,19.0,False,1706
POST_0130,@user_023,Facebook,Image,Fashion,2024-08-08 03:18:00,Thursday,3,8,7454.0,7515.0,19604.0,11911,255635,13.5244,16.0,False,196
POST_0131,@user_001,Twitter,Story,Tech,2024-04-14 09:13:00,Sunday,9,4,2066.0,2133.0,7145.0,10694,401140,2.8279,,False,1353
POST_0132,@user_048,Instagram,Video,Business,2024-08-08 05:08:00,Thursday,5,8,13991.0,2579.0,1521.0,20186,279726,6.4674,22.0,True,2059
POST_0133,@user_005,TikTok,Poll,Education,2024-07-22 23:02:00,Monday,23,7,7877.0,7039.0,17105.0,183608,10325,310.1308,14.0,True,1292
POST_0134,@user_046,TikTok,Story,Entertainment,2024-11-23 13:18:00,Saturday,13,11,9101.0,1418.0,4626.0,49845,212853,7.1152,0.0,False,713
POST_0135,@user_006,TikTok,Story,Education,2024-08-11 03:15:00,Sunday,3,8,28242.0,,10385.0,55645,309238,13.4463,12.0,True,1631
POST_0136,@user_015,Facebook,Poll,Education,2024-06-19 05:04:00,Wednesday,5,6,12370.0,,5236.0,23674,332492,6.8519,3.0,True,1441
POST_0137,@user_016,Facebook,Poll,Food,2024-02-22 04:16:00,Thursday,4,2,3575.0,1436.0,1387.0,9488,91463,6.9952,19.0,True,318
POST_0138,@user_030,Twitter,Poll,Business,2024-10-15 18:28:00,Tuesday,18,10,7277.0,13779.0,16103.0,41653,337612,11.0064,20.0,False,1304
POST_0139,@user_031,Twitter,Story,Fashion,2024-08-14 20:19:00,Wednesday,20,8,3768.0,5364.0,12534.0,12285,310574,6.9761,1.0,False,2088
POST_0140,@user_029,Instagram,Text,Business,2024-01-20 01:23:00,Saturday,1,1,3764.0,672.0,1910.0,25597,40729,15.581,20.0,True,2086
POST_0141,@user_029,YouTube,Story,Tech,2024-10-19 20:12:00,Saturday,20,10,7822.0,,1217.0,23136,317697,3.6444,15.0,True,263
POST_0142,@user_046,YouTube,Video,Education,2024-02-13 16:41:00,Tuesday,16,2,2726.0,2689.0,1370.0,33284,21021,32.2772,7.0,False,1809
POST_0143,@user_024,TikTok,Reel,Food,2024-07-09 09:24:00,Tuesday,9,7,27856.0,3402.0,10862.0,142561,406542,10.3606,10.0,True,1380
POST_0144,@user_036,Instagram,Text,Fashion,2024-12-13 12:18:00,Friday,12,12,5596.0,2134.0,1895.0,31149,379944,2.5333,27.0,True,1375
POST_0145,@user_023,Instagram,Reel,Food,2024-06-07 20:44:00,Friday,20,6,5257.0,4474.0,1797.0,20187,68107,16.9263,19.0,True,1278
POST_0146,@user_009,TikTok,Story,Education,2024-12-09 22:53:00,Monday,22,12,,9371.0,13424.0,102138,49496,90.3002,20.0,False,2092
POST_0147,@user_020,Facebook,Video,Education,2024-04-02 06:21:00,Tuesday,6,4,8656.0,2695.0,,9281,101166,13.9365,7.0,True,644
POST_0148,@user_033,Instagram,Text,Fashion,2024-10-03 23:56:00,Thursday,23,10,6673.0,1863.0,,47177,20290,46.9591,21.0,False,546
POST_0149,@user_011,TikTok,Story,Food,2024-04-02 22:49:00,Tuesday,22,4,4401.0,1430.0,7396.0,42163,378607,3.4936,14.0,True,1692
POST_0150,@user_029,Facebook,Poll,Travel,2024-11-08 09:48:00,Friday,9,11,8317.0,2109.0,4125.0,6591,123184,11.8124,17.0,True,1277
POST_0151,@user_044,YouTube,Image,Education,2024-10-19 14:29:00,Saturday,14,10,3026.0,2593.0,1248.0,26099,408461,1.6812,12.0,False,673
POST_0152,@user_017,Twitter,Reel,Food,2024-01-27 20:30:00,Saturday,20,1,2327.0,6224.0,5382.0,15430,291239,4.784,29.0,True,2123
POST_0153,@user_049,Instagram,Text,Fashion,2024-03-23 08:28:00,Saturday,8,3,12973.0,4599.0,582.0,54212,77753,23.3483,26.0,False,385
POST_0154,@user_002,Twitter,Story,Education,2024-07-31 01:25:00,Wednesday,1,7,7395.0,3560.0,22396.0,39453,196563,16.9671,7.0,False,344
POST_0155,@user_021,Facebook,Image,Tech,2024-02-20 22:41:00,Tuesday,22,2,2124.0,2035.0,9398.0,17046,415411,3.2635,4.0,True,166
POST_0156,@user_049,Facebook,Story,Food,2024-12-27 15:28:00,Friday,15,12,149.0,87.0,247.0,630,475430,0.1016,2.0,True,1058
POST_0157,@user_008,Twitter,Image,Entertainment,2024-05-27 07:19:00,Monday,7,5,1906.0,1874.0,,8761,25534,28.1233,7.0,False,1882
POST_0158,@user_039,Instagram,Video,Business,2024-10-01 00:40:00,Tuesday,0,10,4955.0,2345.0,3206.0,59381,301990,3.4789,7.0,True,1203
POST_0159,@user_016,YouTube,Video,Education,2024-10-19 13:11:00,Saturday,13,10,1830.0,1319.0,314.0,17876,274956,1.2595,11.0,True,2164
POST_0160,@user_025,TikTok,Reel,Tech,2024-08-28 01:40:00,Wednesday,1,8,17908.0,2603.0,6266.0,82023,196217,13.6466,,True,1472
POST_0161,@user_047,Instagram,Text,Travel,2024-12-02 20:06:00,Monday,20,12,5256.0,3048.0,1412.0,33721,385949,2.5174,24.0,False,556
POST_0162,@user_042,Instagram,Text,Education,2024-03-30 21:29:00,Saturday,21,3,5945.0,5260.0,2549.0,44819,331711,4.1464,5.0,True,268
POST_0163,@user_013,YouTube,Video,Fitness,2024-01-23 06:56:00,Tuesday,6,1,1381.0,696.0,157.0,11158,165963,1.3461,29.0,False,2121
POST_0164,@user_017,YouTube,Reel,Business,2024-01-19 20:12:00,Friday,20,1,6133.0,5196.0,2386.0,29517,187657,7.3085,27.0,True,1369
POST_0165,@user_028,Facebook,Video,Education,2024-07-23 23:28:00,Tuesday,23,7,4185.0,2759.0,8903.0,16088,178252,8.8902,5.0,False,2047
POST_0166,@user_006,Facebook,Reel,Fitness,2024-08-05 02:27:00,Monday,2,8,2295.0,2808.0,4072.0,4613,286485,3.2026,9.0,False,430
POST_0167,@user_020,Instagram,Text,Fitness,2024-08-16 19:45:00,Friday,19,8,5051.0,1520.0,1153.0,17692,87869,8.7904,22.0,False,1449
POST_0168,@user_040,YouTube,Video,Education,2024-08-10 08:40:00,Saturday,8,8,745.0,621.0,291.0,20880,39843,4.1588,21.0,False,1498
POST_0169,@user_002,TikTok,Poll,Food,2024-03-14 19:43:00,Thursday,19,3,8527.0,4810.0,9696.0,181849,18744,122.882,4.0,True,976
POST_0170,@user_037,Facebook,Text,Entertainment,2024-01-17 19:09:00,Wednesday,19,1,3288.0,3394.0,14724.0,25333,497956,4.2988,11.0,False,1828
POST_0171,@user_034,Instagram,Reel,Food,2024-07-06 12:20:00,Saturday,12,7,10171.0,1309.0,604.0,26269,131368,9.1986,30.0,True,116
POST_0172,@user_036,Twitter,Story,Entertainment,2024-03-01 08:49:00,Friday,8,3,5264.0,5067.0,8228.0,9463,369618,5.0211,,True,1179
POST_0173,@user_009,YouTube,Image,Fashion,2024-02-07 14:11:00,Wednesday,14,2,11457.0,3262.0,,80965,46527,37.935,25.0,False,1433
POST_0174,@user_020,Instagram,Reel,Fitness,2024-03-21 22:45:00,Thursday,22,3,4624.0,810.0,310.0,15759,416625,1.3787,11.0,True,507
POST_0175,@user_032,Twitter,Image,Travel,2024-01-14 11:35:00,Sunday,11,1,5157.0,11221.0,6863.0,28005,193915,11.9851,14.0,True,363
